code,gpt4o_consumer_final,gemini_consumer_final,gemini_type,agree_xv,final_label_xv
1111111,False,False,raw_material,True,non_consumer
1111112,False,False,raw_material,True,non_consumer
1111211,False,False,raw_material,True,non_consumer
1111212,False,False,raw_material,True,non_consumer
1111213,False,False,raw_material,True,non_consumer
1111311,False,False,raw_material,True,non_consumer
1111312,False,False,raw_material,True,non_consumer
1111313,False,False,raw_material,True,non_consumer
1111321,False,False,raw_material,True,non_consumer
1111322,False,False,raw_material,True,non_consumer
1111331,False,False,raw_material,True,non_consumer
1111332,False,False,raw_material,True,non_consumer
1111341,False,False,raw_material,True,non_consumer
1111411,False,False,raw_material,True,non_consumer
1111412,False,False,raw_material,True,non_consumer
1111421,False,False,raw_material,True,non_consumer
1111431,False,False,raw_material,True,non_consumer
1111432,True,True,consumer_good,True,consumer_final
1111433,False,False,intermediate_good,True,non_consumer
1111434,False,False,raw_material,True,non_consumer
1111435,False,False,intermediate_good,True,non_consumer
1111436,False,False,intermediate_good,True,non_consumer
1121111,False,False,raw_material,True,non_consumer
1121112,False,False,raw_material,True,non_consumer
1131111,False,False,raw_material,True,non_consumer
1131112,False,False,raw_material,True,non_consumer
1141111,True,True,consumer_good,True,consumer_final
1141112,True,True,consumer_good,True,consumer_final
1141113,True,True,consumer_good,True,consumer_final
1141114,True,True,consumer_good,True,consumer_final
1141115,True,False,raw_material,False,REVIEW
1141121,True,False,raw_material,False,REVIEW
1141122,True,False,raw_material,False,REVIEW
1141131,True,False,raw_material,False,REVIEW
1141132,True,False,raw_material,False,REVIEW
1141133,True,False,raw_material,False,REVIEW
1141134,True,False,raw_material,False,REVIEW
1141141,True,False,raw_material,False,REVIEW
1141142,True,False,raw_material,False,REVIEW
1141143,True,False,raw_material,False,REVIEW
1141144,True,False,raw_material,False,REVIEW
1141145,True,False,raw_material,False,REVIEW
1141146,True,False,raw_material,False,REVIEW
1141147,True,False,raw_material,False,REVIEW
1141148,True,False,raw_material,False,REVIEW
1141151,True,False,raw_material,False,REVIEW
1141152,True,False,raw_material,False,REVIEW
1141153,True,False,raw_material,False,REVIEW
1142111,True,False,raw_material,False,REVIEW
1142112,False,False,raw_material,True,non_consumer
1142113,False,False,raw_material,True,non_consumer
1142211,True,False,raw_material,False,REVIEW
1142212,True,False,raw_material,False,REVIEW
1142213,True,False,raw_material,False,REVIEW
1142214,True,False,raw_material,False,REVIEW
1142215,True,False,raw_material,False,REVIEW
1142216,True,False,raw_material,False,REVIEW
1142217,True,False,raw_material,False,REVIEW
1142218,True,False,raw_material,False,REVIEW
1143111,False,False,raw_material,True,non_consumer
1143112,False,False,raw_material,True,non_consumer
1143113,False,False,raw_material,True,non_consumer
1143121,False,False,raw_material,True,non_consumer
1143122,False,False,raw_material,True,non_consumer
1143123,False,False,raw_material,True,non_consumer
1143124,False,False,raw_material,True,non_consumer
1143131,False,False,raw_material,True,non_consumer
1143132,False,False,raw_material,True,non_consumer
1143141,False,False,raw_material,True,non_consumer
1143142,False,False,raw_material,True,non_consumer
1143143,False,False,raw_material,True,non_consumer
1143151,False,False,raw_material,True,non_consumer
1143152,False,False,raw_material,True,non_consumer
1151111,False,False,raw_material,True,non_consumer
1151121,False,False,raw_material,True,non_consumer
1151131,False,False,raw_material,True,non_consumer
1151141,False,False,raw_material,True,non_consumer
1151151,False,False,raw_material,True,non_consumer
1151152,False,False,raw_material,True,non_consumer
1151153,False,False,raw_material,True,non_consumer
1151154,False,False,raw_material,True,non_consumer
1151155,False,False,raw_material,True,non_consumer
1151211,False,False,raw_material,True,non_consumer
1151221,False,False,raw_material,True,non_consumer
1151222,False,False,raw_material,True,non_consumer
1151223,False,False,raw_material,True,non_consumer
1151224,False,False,raw_material,True,non_consumer
1151311,False,False,raw_material,True,non_consumer
1151321,False,False,raw_material,True,non_consumer
1151322,False,False,raw_material,True,non_consumer
1151331,False,False,raw_material,True,non_consumer
1151341,False,False,raw_material,True,non_consumer
1151351,False,False,raw_material,True,non_consumer
1151361,True,True,consumer_good,True,consumer_final
1151362,True,True,consumer_good,True,consumer_final
1151363,True,True,consumer_good,True,consumer_final
1151364,True,True,consumer_good,True,consumer_final
1151365,True,True,consumer_good,True,consumer_final
1151371,False,False,raw_material,True,non_consumer
1151381,False,False,intermediate_good,True,non_consumer
1151382,False,False,intermediate_good,True,non_consumer
1151383,False,False,raw_material,True,non_consumer
1151384,False,False,intermediate_good,True,non_consumer
1151391,False,False,raw_material,True,non_consumer
1151392,False,False,raw_material,True,non_consumer
1151393,False,False,raw_material,True,non_consumer
1151394,False,False,raw_material,True,non_consumer
1151395,False,False,raw_material,True,non_consumer
1151396,False,False,raw_material,True,non_consumer
1151397,False,False,raw_material,True,non_consumer
1151398,False,False,intermediate_good,True,non_consumer
1151411,True,True,consumer_good,True,consumer_final
1151412,False,True,consumer_good,False,REVIEW
1151413,False,True,consumer_good,False,REVIEW
1151421,True,True,consumer_good,True,consumer_final
1151431,True,True,consumer_good,True,consumer_final
1151432,True,True,consumer_good,True,consumer_final
1151433,False,True,consumer_good,False,REVIEW
1151434,True,True,consumer_good,True,consumer_final
1151435,True,True,consumer_good,True,consumer_final
1151441,True,True,consumer_good,True,consumer_final
1151442,True,True,consumer_good,True,consumer_final
1151443,True,True,consumer_good,True,consumer_final
1151444,True,True,consumer_good,True,consumer_final
1151445,False,True,consumer_good,False,REVIEW
1151446,True,True,consumer_good,True,consumer_final
1151451,True,True,consumer_good,True,consumer_final
1161111,True,True,consumer_good,True,consumer_final
1161112,False,False,intermediate_good,True,non_consumer
1161113,False,False,intermediate_good,True,non_consumer
1161211,False,False,raw_material,True,non_consumer
1161311,False,False,raw_material,True,non_consumer
1161321,False,False,raw_material,True,non_consumer
1161322,False,False,raw_material,True,non_consumer
1161331,True,True,consumer_good,True,consumer_final
1161341,False,False,raw_material,True,non_consumer
1211111,False,True,consumer_good,False,REVIEW
1211112,False,False,intermediate_good,True,non_consumer
1211113,False,True,consumer_good,False,REVIEW
1211114,False,True,consumer_good,False,REVIEW
1211121,True,True,consumer_good,True,consumer_final
1211131,True,True,consumer_good,True,consumer_final
1211132,True,True,consumer_good,True,consumer_final
1211141,False,True,consumer_good,False,REVIEW
1211142,False,True,consumer_good,False,REVIEW
1211143,False,True,consumer_good,False,REVIEW
1311111,False,False,raw_material,True,non_consumer
1311121,False,False,raw_material,True,non_consumer
1311122,False,False,raw_material,True,non_consumer
1311123,False,False,raw_material,True,non_consumer
1311124,False,False,raw_material,True,non_consumer
1311125,False,False,raw_material,True,non_consumer
1311211,False,False,raw_material,True,non_consumer
1311221,False,False,raw_material,True,non_consumer
1311311,False,False,raw_material,True,non_consumer
1311312,False,False,raw_material,True,non_consumer
1411111,False,False,raw_material,True,non_consumer
1411112,False,False,raw_material,True,non_consumer
1411211,False,False,raw_material,True,non_consumer
1411212,False,False,raw_material,True,non_consumer
1411311,False,False,raw_material,True,non_consumer
1421111,False,False,raw_material,True,non_consumer
1431111,False,True,consumer_good,False,REVIEW
1431112,False,True,consumer_good,False,REVIEW
1431121,False,False,raw_material,True,non_consumer
1431122,False,False,raw_material,True,non_consumer
1431123,False,False,raw_material,True,non_consumer
1431124,False,False,raw_material,True,non_consumer
1441111,False,True,consumer_good,False,REVIEW
1441121,False,False,raw_material,True,non_consumer
1441122,False,False,raw_material,True,non_consumer
1441211,False,False,raw_material,True,non_consumer
1441221,False,False,raw_material,True,non_consumer
1451111,False,False,raw_material,True,non_consumer
1451211,False,True,consumer_good,False,REVIEW
1451212,False,True,consumer_good,False,REVIEW
1451221,False,False,intermediate_good,True,non_consumer
1451222,False,True,consumer_good,False,REVIEW
1451223,False,False,intermediate_good,True,non_consumer
1451311,False,False,intermediate_good,True,non_consumer
1451321,False,False,b2b_service,True,non_consumer
1461111,False,False,intermediate_good,True,non_consumer
1461112,False,False,intermediate_good,True,non_consumer
1461113,False,False,intermediate_good,True,non_consumer
1461114,False,False,intermediate_good,True,non_consumer
1461115,False,False,intermediate_good,True,non_consumer
1461116,False,False,intermediate_good,True,non_consumer
1461117,False,False,intermediate_good,True,non_consumer
1461118,False,False,intermediate_good,True,non_consumer
1461119,False,False,intermediate_good,True,non_consumer
1471111,False,False,b2b_service,True,non_consumer
1471112,False,False,b2b_service,True,non_consumer
1471113,True,True,consumer_service,True,consumer_final
1471121,False,False,b2b_service,True,non_consumer
1471122,False,False,b2b_service,True,non_consumer
1471123,True,True,consumer_service,True,consumer_final
1471131,False,False,b2b_service,True,non_consumer
1471132,False,False,b2b_service,True,non_consumer
1471133,True,True,consumer_service,True,consumer_final
1471141,False,False,b2b_service,True,non_consumer
1471142,False,False,b2b_service,True,non_consumer
1471143,False,False,wholesale,True,non_consumer
1511111,False,False,raw_material,True,non_consumer
1521111,False,False,raw_material,True,non_consumer
1531111,False,False,raw_material,True,non_consumer
1541111,False,False,raw_material,True,non_consumer
1551111,False,False,raw_material,True,non_consumer
1551121,False,False,raw_material,True,non_consumer
1551131,False,False,raw_material,True,non_consumer
1552111,False,False,raw_material,True,non_consumer
1552121,False,False,raw_material,True,non_consumer
1552211,False,False,raw_material,True,non_consumer
1552221,False,False,raw_material,True,non_consumer
1552311,False,False,raw_material,True,non_consumer
1552321,False,False,raw_material,True,non_consumer
1552322,False,False,raw_material,True,non_consumer
1561111,False,False,raw_material,True,non_consumer
1561211,False,False,raw_material,True,non_consumer
1561221,False,False,raw_material,True,non_consumer
1561222,False,False,raw_material,True,non_consumer
1561223,False,False,raw_material,True,non_consumer
1571111,False,False,intermediate_good,True,non_consumer
1571112,False,False,intermediate_good,True,non_consumer
1571113,False,False,intermediate_good,True,non_consumer
1571114,False,False,intermediate_good,True,non_consumer
1571121,False,False,intermediate_good,True,non_consumer
1571122,False,False,raw_material,True,non_consumer
1571211,False,False,raw_material,True,non_consumer
1581121,False,False,raw_material,True,non_consumer
1581122,False,False,raw_material,True,non_consumer
1581131,False,False,raw_material,True,non_consumer
1581132,False,False,raw_material,True,non_consumer
1581133,False,False,raw_material,True,non_consumer
1581134,False,False,raw_material,True,non_consumer
1581135,False,False,raw_material,True,non_consumer
1581136,False,False,raw_material,True,non_consumer
1581137,False,False,raw_material,True,non_consumer
1581139,False,False,raw_material,True,non_consumer
1581141,False,False,raw_material,True,non_consumer
1581142,False,False,raw_material,True,non_consumer
1581151,False,False,raw_material,True,non_consumer
1581161,False,False,raw_material,True,non_consumer
1591111,False,False,raw_material,True,non_consumer
1611111,False,False,raw_material,True,non_consumer
1621111,False,False,raw_material,True,non_consumer
1621121,False,False,raw_material,True,non_consumer
1621211,False,False,raw_material,True,non_consumer
1621221,False,False,raw_material,True,non_consumer
1621231,False,False,raw_material,True,non_consumer
1631111,False,False,raw_material,True,non_consumer
